user_name,status,datetime
Ted Cruz,"Very sad. I met Charlie on the campaign trail, and grew up knowing every word to The Devil Went Down To Georgia. (Still sing it—badly—to Caroline’s annoyance and Catherine’s delight.)

He was one of a kind. RIP.",2020-07-06 13:21:26.145292
Ted Cruz,"Dangerous &amp; wrong. 

If you believe (rightly) that black lives matter, these extreme Left policies are killing black lives.",2020-07-06 13:26:38.773741
Sen. Marsha Blackburn,"Charlie was a good friend and a great musician. He will be missed dearly and remembered for all his contributions to Music City, our country and our nation’s veterans. May God watch over him. https://t.co/nTGJiVizs1",2020-07-06 13:29:04.389444
Ted Cruz,"Truly insane. Frederick Douglass was one of the greatest heroes America has ever produced. A passionate, courageous, visionary, volcanic force for Justice. 

And the angry, ignorant, America-hating mob tears him down.",2020-07-06 13:29:24.462441
Ted Cruz,Because science.,2020-07-06 13:30:03.470286
Josh Hawley,"Exactly. I again invite @tiktok_us to explain its relationship with #Beijing, under oath, before the subcommittee on Crime and Terrorism that I chair",2020-07-06 13:30:51.348329
Sen. Lisa Murkowski,This past weekend the President signed into law legislation to extend the #PaycheckProtectionProgram through August 8th. The @SBAgov began accepting new loan applications for the #PPP this morning. More info on the program here: https://t.co/y0FJQb0xJj,2020-07-06 13:33:27.681469
Cory Gardner,".@ENERGY just approved export authorization to the Jordan Cove liquefied natural gas project. This project will help create jobs and generate more revenue for our counties, schools, and roads in Colorado. I’m glad to see this exciting news for Colorado’s Western Slope.",2020-07-06 13:33:46.871392
Sen. Lisa Murkowski,This past weekend the President signed into law legislation to extend the #PaycheckProtectionProgram through August 8th. The @SBAgov began accepting new loan applications for the PPP this morning. More info on the program here: https://t.co/y0FJQb0xJj,2020-07-06 13:34:54.508735
Thom Tillis,"Happy birthday to the greatest fried chicken restaurant out there, @bojangles!

#NationalFriedChickenDay",2020-07-06 13:39:43.135301
Senator Pat Roberts,ATTN: The deadline to apply for the #PaycheckProtectionProgram has been extended to august 8!,2020-07-06 13:45:14.753344
Shelley Moore Capito,Thank you to the men and women of the @USCG's Operations Systems Control (OSC) in Kearneysville as they begin their new watch as a part of C5I. Semper Paratus! 🇺🇸 https://t.co/TdlCzDUSVM,2020-07-06 13:48:06.603859
Sen. Jim Inhofe,"A great story of Oklahoma veteran, Mr. Britt, who knows and celebrates the true meaning of Independence Day.  

Thank you, for honoring the daily sacrifice of our soldiers serving today and throughout history—may they never be forgotten. 

https://t.co/P3v2lvoJxj",2020-07-06 14:00:25.957375
Senator Kelly Loeffler,"Congress &amp; @realDonaldTrump have passed a historic amount of aid in response to COVID-19 for #smallbiz. As we begin to look at what additional stimulus may look like, the first step is to ensure the remaining $130B #PPP funding is fully deployed.
 
More with @GwinnettDaily:",2020-07-06 14:09:09.024805
Martha McSally,Sign up for my e-newsletter to receive the latest updates from the Senate straight to your inbox.,2020-07-06 14:13:05.359088
Rob Portman,"As we continue to work together to defeat the coronavirus pandemic, we can’t lose sight of another health crisis that has hit Ohio hard over the past decade: the addiction epidemic.
 
We need to keep working hard to ensure we don’t lose ground in the fight against addiction. https://t.co/FxCJtJiwNH",2020-07-06 14:22:41.761505
Steve Daines,Spoke with Billings healthcare leaders &amp; local elected officials this morning.  Thankful for their leadership during this pandemic. https://t.co/VLQ3BxBUnG,2020-07-06 14:28:27.764804
Senator Roger Wicker,Powerful article from Ligon Duncan.  https://t.co/qLleC7EqGJ,2020-07-06 14:33:16.205563
Senator Roy Blunt,I spoke at the opening of the Webster County Justice Center this weekend. Law enforcement officers have one of the hardest jobs in the country. They go to work unsure of what danger they could face that day. It takes bravery &amp; dedication to their communities to do this job.,2020-07-06 14:36:54.512999
ChuckGrassley,.@realDonaldTrump #CommonSense AfricanAmerican former Congressman Col Allen West was just ask what explanation why ppl wld tear down Frederick Douglass statue in Rochester said “They are ignorant” meaning ignorant our history and Douglass fight agst slavery,2020-07-06 14:43:59.987638
Sen. Jim Inhofe,"Branches Church in OKC is working to open Centurion Center, a place of specialized support for past and present members of the Armed Forces. 

I'm looking forward to seeing their hard work come to fruition as they aim to help our military communities. 
https://t.co/7hrGFcUJKQ",2020-07-06 15:00:05.429382
Cory Gardner,"In order to fully beat #COVID19, it’s important to rapidly see where the illness is and is not. My bipartisan TEST Act provides key components of detecting and preventing outbreaks to help contain this virus and respond to outbreaks in the future.
https://t.co/Z4HPvxYhGz",2020-07-06 15:15:45.875216
Senator Kelly Loeffler,"America has felt the repercussions of a failed immigration structure that has rewarded those who abuse our nation’s compassion. 
 
Proud to team up with @MarshaBlackburn to put an end to the abuse of the birth tourism industry. 
 
More: https://t.co/of6O5a6LiO",2020-07-06 15:16:48.435934
Sen. Marsha Blackburn,"This will help secure thousands of Americans paychecks. 
https://t.co/FoLlikRg75",2020-07-06 15:20:47.316937
Sen. Marsha Blackburn,This will secure paychecks for hardworking Americans. https://t.co/FoLlikRg75,2020-07-06 15:21:44.893513
Sen. Susan Collins,"Maine Farmers Exchange in Presque Isle has been awarded $2.14 million to participate in the USDA’s Farmers to Families Food Box Program, which purchases fresh produce, dairy, &amp; meat from farmers &amp; provides it to families in need.

https://t.co/3ZISdjDtYF",2020-07-06 15:25:25.536054
Thom Tillis,"Now more than ever before, we’ve got to support America’s job creators with pro-small business legislation like tax cuts and tough trade deals — and not cripple job creators with more taxes and more burdensome regulation. https://t.co/DLeTrF6p6c",2020-07-06 15:30:01.335903
Cindy Hyde-Smith,"Rural healthcare was already in crisis prior to the COVID-19 pandemic, and the situation is only getting worse. We must deliver relief to our struggling rural health care providers. https://t.co/Op6nVuZivz",2020-07-06 15:30:05.765200
Sen. Lamar Alexander,"Charlie Daniels could make his fiddle and everybody else jump at the same time. 
He was a big-hearted music man with many friends. I was lucky to be one of them. 
His fans will miss him and 50 years of the Volunteer Jam. 
Honey and I send our sympathy to Charlie’s family.",2020-07-06 15:50:59.570011
Thom Tillis,"Susan &amp; I are praying for NC Highway Patrol Trooper Lopez-Alcedo, his family, &amp; his fellow men &amp; women in blue. While assisting at the scene of a crash, Trooper Lopez-Alcedo was struck by another vehicle, leaving him in life threatening condition. 

https://t.co/hswESG0YuT",2020-07-06 15:56:31.753943
Steve Daines,"I will continue working to get MT seniors the care and support they need during the ongoing COVID-19 pandemic! 

https://t.co/ZxyowXnnjX",2020-07-06 15:56:44.317099
"Bill Cassidy, M.D.","The Energy industry is struggling because of this pandemic. Many Louisianians rely on the good-paying jobs the energy industry supplies, so we must protect those Louisiana workers. https://t.co/I9lDl6927y",2020-07-06 15:57:39.642556
Tim Scott,"The Protecting Nonprofits from Catastrophic Cash Flow Strain Act helps nonprofits, state and local governments, and federally recognized Tribes remain financially viable during the #COVID19 pandemic.

For more on this legislation, please visit: https://t.co/6xPBDNiwQF https://t.co/PiiT3CT0u3",2020-07-06 16:00:05.718978
Sen. Jim Inhofe,"I’m proud of my fellow Oklahomans working to honor the life of fallen TPD Sgt. Craig Johnson. 

We are continuing to pray for Johnson’s loved ones, our Tulsa community and the Tulsa Police Department during this time. 
https://t.co/WJHOG91Z4s",2020-07-06 16:00:06.383109
Ted Cruz,"I greatly appreciate @SenatorTimScott joining me and @MichaelJKnowles on #Verdict to talk about getting Republicans to the table for the #JUSTICEAct and more... 

Catch the full episode here: https://t.co/nqT4P16mCh",2020-07-06 16:00:19.868984
Joni Ernst,"On my #99CountyTour, I hear from folks concerned about the high costs of health care. I’m working on a number of efforts, including the Healthcare PRICE Transparency Act, which will increase transparency, empower patients, and ultimately lower costs. https://t.co/Q7R8WOkBRR",2020-07-06 16:03:12.108175
Senator Kelly Loeffler,"Great move by @GovKemp. Our first priority must be the safety of Georgia communities. Right now, escalating lawlessness in Atlanta has resulted in senseless violence and the loss of innocent life. That will not be tolerated.
 
Thank you, @GovKemp. https://t.co/qJaBshrkwI",2020-07-06 16:09:18.601120
Rob Portman,"Exceptional job by the men and women of the @CBP seizing the largest amount of synthetic drugs in Cincinnati history. 

Thankful for their efforts to keep these lethal drugs out of our communities. More from @Enquirer:
https://t.co/knr15q4wFd",2020-07-06 16:10:04.989211
Senator Roger Wicker,"This summer, the Senate will move to pass the #NDAA for the 60th year in a row. As a member of @SASCMajority, I worked to craft core elements of this legislation and hope it will pass soon. #WickerReport https://t.co/iZT1TiLju5",2020-07-06 16:22:38.557613
Sen. Marsha Blackburn,Reporting the truth that American cities are experiencing a huge crime wave as Democrats demonize the police doesn’t fit the media’s narrative. @PressSec https://t.co/LonuXvfacA,2020-07-06 16:25:24.435351
Senator Roy Blunt,"A coronavirus vaccine is vital to helping parents feel safe sending their kids back to school &amp; reopening more of our economy. Last week, I chaired a hearing to get an update from @NIH on the expedited development of an effective vaccine. https://t.co/NeuovtGrtO",2020-07-06 16:44:16.794914
Rob Portman,".@ToledoPolice Officer Anthony Dia was killed in the line of duty early Saturday morning. 

A heartbreaking reminder of the price paid by a brave few to protect the freedoms we all enjoy every day. Rest in peace Officer Dia. https://t.co/YmTqM5vbC6",2020-07-06 16:49:59.585109
Senator Mike Rounds,"Great news! @realDonaldTrump signed our legislation to extend the PPP application deadline. That means South Dakota small businesses now have until August 8th to apply for the COVID-19 relief program.
https://t.co/VxqIy82DP2",2020-07-06 16:56:46.266651
Sen. Marsha Blackburn,Wishing the happiest of birthdays to @DalaiLama today!,2020-07-06 16:58:57.086822
Thom Tillis,Join us in 4 DAYS for our North Carolina Republican Party Convention for a discussion on how our common-sense conservative agenda will help get our economy back on track. https://t.co/VwNVe4FLuU,2020-07-06 17:09:24.955674
Shelley Moore Capito,"Had some fun today at Sutton Lake Marina with Charlie, our son Charles, our daughter-in-law Laura, and the grandkids. Enjoyed being out on the water with family on this beautiful West Virginia day! ☀️ https://t.co/DK4oR4Hc4t",2020-07-06 17:27:37.063638
Senator Todd Young,Organizations across the country have expressed their support of the RESTART Act since its introduction in May. Learn more about how this pivotal bill will help small businesses in my #HoosierHighlights Newsletter: https://t.co/pFmvtBagHm https://t.co/FdtLEmOm71,2020-07-06 17:30:17.935763
Josh Hawley,The boys looking over their cousins’ cattle at the Gelbvieh cattle competition out at the Ozark Empire Fairgrounds in Springfield https://t.co/uGByLSQ5aH,2020-07-06 18:27:04.878543
Senator Ron Johnson,"ICYMI: Rather than allow another paid day off for federal workers to pass without debate or vote, I wanted to start a discussion. The original amendment is being withdrawn and I'm introducing a modified one that preserves Columbus Day and taxpayer dollars. https://t.co/fzs3e2IPFA",2020-07-06 18:55:05.424160
Thom Tillis,"Our bipartisan Paycheck Protection Program: $12 billion in assistance, awarded to 122,000 North Carolina small businesses, helping retain over 1,000,000 North Carolina jobs.

https://t.co/eGRvflJzSH",2020-07-06 19:27:32.986339
Steve Daines,"Thanks to Riza and Laurie, owners of Tumblewood Teas, for the virtual tour of their business. Great discussion on the need to end our reliance on China and bring manufacturing jobs back to America. https://t.co/AaazbRuHs5",2020-07-06 19:55:56.630759
