user_name,status,datetime
Ted Cruz,Pelosi calls for removing racist Democrats from the Capitol.,2020-06-12 18:15:28.971144
Marco Rubio,Today we sent a bipartisan list of questions to @zoom_us after it closed the accounts of several Chinese activists at the request of the Communist Party https://t.co/639fZ6JAZS,2020-06-12 18:37:02.087157
Sen. Marsha Blackburn,"Chinese sweatshops and Communist blood money are no issue for Corporate America. But Tucker Carlson having an opinion is where they draw the line.
https://t.co/IcOIWx6Xai",2020-06-12 18:37:17.812156
Marco Rubio,"Just FYI this headline is 100% false &amp; article which poaches reporting from other outlets presents it incorrectly

As @cnn reported what I said was many #smallbiz claim loans reveal trade secrets.And I sent @SBA letter just last week asking to release info https://t.co/KG7ucfUXDz",2020-06-12 19:05:33.737982
Cindy Hyde-Smith,Today we honor the millions of women who have fought to protect and defend this country. Thank you for your sacrifice and bravery. #WomenVeteransDay https://t.co/b8cvD8bYdr,2020-06-12 19:15:05.426970
Ted Cruz,".@MichaelJKnowles and I have a BRAND NEW episode of #Verdict that you're going to want to watch... with special guest @MarkMeadows -- the @WhiteHouse Chief of Staff. 

Catch the full episode here: https://t.co/gUNI9dC1uP",2020-06-12 19:34:48.679192
Joni Ernst,.@CapCityFruit has stepped up during #COVID19—using @usda’s Farmers to Families Food Box program to get fresh produce to Iowa’s food banks. It was great join @iadeptag Sec. Naig today &amp; see how they are helping Iowans in need across Warren Co. &amp; surrounding areas. #99CountyTour https://t.co/0ItXzPcw5F,2020-06-12 19:35:07.120687
Marco Rubio,"Since Miami Herald no longer has a reporter in the Capitol their article claiming I oppose #PPP disclosure is based on a mischaracterization of @CNN’s work

CNN accurately reported what I actually said,that I was hearing from #smallbiz that disclosure would reveal trade secrets",2020-06-12 19:43:00.399272
Sen. Lisa Murkowski,"The Trump administration officially reopened the U.S. consulate in Nuuk, Greenland. I thank the administration for expanding the United States’ presence in, and commitment to, the #Arctic region. https://t.co/yhqFTsXmKT",2020-06-12 19:56:29.918123
Marco Rubio,"If want to know what I actually said read original CNN report

They didn’t report I opposed disclosure 

They reported I had heard concerns from #smallbiz that loan amounts reveal “trade secret” but I was “continuing to work to try &amp; resolve the issue”
https://t.co/oc2Ca60NMV",2020-06-12 20:03:13.083122
Cindy Hyde-Smith,"Today we honor the life of Medgar Evers and his contributions to the Civil Rights movement. Last year Congressman Bennie Thompson, Senator Roger Wicker, and I co-sponsored a law that made his Jackson home a National Monument. https://t.co/O9gGRm2vZ7",2020-06-12 20:15:05.377813
Marco Rubio,"They deliberately leave out the first part of what I said because it would reveal that this quote isn’t my new stance, it’s me describing what some #smallbiz are telling me

I get that what they write isn’t a big deal,but still,the deliberate effort to mislead is so annoying",2020-06-12 20:32:28.286759
Marco Rubio,"Hmmm

You won’t find many tweets from Miami Herald with more that 50 likes or RT’s 

But they tweet a false &amp; negative article about me &amp; get 790 RT &amp; over 900 likes in just 3 hours?

From many accounts with less than 50 followers? 

Someone’s troll farm is working hard! https://t.co/iI7eNGtmSI",2020-06-12 20:58:46.092660
Cindy Hyde-Smith,Our prayers go out to the family of this Simpson County deputy sheriff and his fellow deputies tonight. https://t.co/mwFuE8J4x6,2020-06-12 20:59:44.598936
Ted Cruz,Problem solved.,2020-06-12 21:52:43.840376
Ted Cruz,"This idiocy has got to stop.

And if we demonize all cops, who in their right mind will choose to become one?

SVU is about stopping rapists and pedophiles. Do these woke imbeciles really think the world would be better if police didn’t arrest sexual predators?",2020-06-13 00:16:05.363982
Ted Cruz,This is REALLY bad for America.,2020-06-13 00:28:22.244147
Team Cornyn,"❓  Will the flu vaccine protect against #COVID19?

❓  Is #COVID19 more dangerous than flu?

❓  Can I have flu and COVID19 at the same time?

Get the FACTS here ⬇️.",2020-06-13 07:52:05.370585
Shelley Moore Capito,Still haven’t taken the #2020census? It’s not too late! Take it today: https://t.co/H46AafW1ut https://t.co/iUCeaDsvfc,2020-06-13 08:00:05.793903
Josh Hawley,"“Let your steadfast love come to me, O Lord, your salvation according to your promise” Psalm 119:41",2020-06-13 08:05:57.335741
Sen. Susan Collins,"According to a recent survey, 40 percent of seniors reported feeling lonely, and this problem has worsened during the pandemic. I spoke with NEWS CENTER Maine about the health consequences of social isolation and how we can help seniors stay connected in their communities. https://t.co/oxeus4sPtE",2020-06-13 08:41:31.369861
Sen. Jim Inhofe,"Unfortunately, faith-based organizations experience discrimination due to unconstitutional policies forcing them to either close their doors, or give up their religious beliefs.

Read my full op-ed in the @Cushing_Citizen ⬇️ 

https://t.co/3nZnv7VKxb",2020-06-13 09:00:06.822985
Senator Todd Young,#ICYMI: I joined a bipartisan letter requesting that the administration work with its allies to help protect any Hong Kong refugees fleeing China. #StandwithHongKong https://t.co/N702gKFHpt,2020-06-13 09:00:06.871835
Martha McSally,"It is unacceptable that Zoom has caved to the pressure of communist China and restricted free speech by those based in the U.S. The platform is un-American and I will no longer be using it.
https://t.co/MsqJhOcvdr",2020-06-13 09:14:40.728957
Josh Hawley,"I have an idea: how about these companies pledge to bring back jobs they shipped overseas, stop using #China slave labor, and create new good paying jobs in our cities? https://t.co/6ag1gCunKu",2020-06-13 09:25:50.776401
Marco Rubio,"Hear, LORD, my plea for justice;pay heed to my cry;
Listen to my prayer from lips without guile. From you let my vindication come;your eyes see what is right.

Psalms 17:1-2",2020-06-13 09:25:52.772874
Marco Rubio,"We can’t allow looters &amp; anarchists to take over our streets. This is indefensible criminality which shouldn’t be justified or rationalized.

But we also can’t allow looters &amp; anarchists to distract or prevent us from addressing a divide over race that is hurting America.",2020-06-13 09:46:09.182566
Senator Jerry Moran,"Yesterday, I helped distribute meals at Abilene Middle School &amp; Garfield Elementary School to students in the communities. To help ensure students continue to receive meals during the COVID-19 pandemic, many schools across KS have switched to providing drive-thru meal services. https://t.co/iWur3puw3x",2020-06-13 09:56:05.677531
Cindy Hyde-Smith,"There will be multiple free mask giveaways throughout DeSoto County today from 10:00 a.m. - 2:00 p.m. Please see the article below for further details. 
https://t.co/TqOuc6wGLk",2020-06-13 10:00:06.725992
